numero_expediente,estado_seleccionado,usuario,sistema
EX-2018-15510061- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-16334387- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25186117- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25184554- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08988017- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-11472023- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915511- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25237956- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25187456- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781970- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24960557- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08988254- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24397710- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-22275598- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-31523272- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25401312- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09433404- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781690- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151084- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15509239- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151021- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24782248- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-14652688- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25243650- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-30754122- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-13809965- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25171195- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15571304- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24977912- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-17867223- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09443938- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-16978189- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781996- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25401917- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15510170- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10150955- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25237786- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915259- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915484- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915380- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08988243- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15717721- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915355- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25402029- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25400856- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09422036- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10152413- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-19900107- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09444702- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24409296- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15510156- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09436177- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-08961838- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23696719- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23066772- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24782213- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915406- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-17286024- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151110- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781633- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15911698- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09438254- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24977741- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10226940- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24961449- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25220185- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25187939- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24770706- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-22278446- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-20316073- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25185984- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09657659- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915475- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08987617- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08988265- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-29168632- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09430356- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25388569- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09449472- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151023- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24401118- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781750- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25589363- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24779394- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25181374- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25399986- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10730682- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25187032- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24977683- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-22281163- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25176382- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25826097- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24977646- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25397650- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-21280115- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08988281- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
